id,edad,educacion,tipo_empleo,ingreso_mensual_mxn,gasto_fijo_mxn,gasto_variable_mxn,ahorro_mensual_mxn,porcentaje_ahorro,deuda_total_mxn,uso_tarjeta_credito_pct,score_financiero,fecha_generacion,ingreso_mensual_bracket
user_1,51,Licenciatura,Freelance/Independiente,18914.8,10148.91,2398.14,6560.61,34.69,323.14,41.99,49.93,2025-11-26,15k-30k
user_2,35,Secundaria,Empleado formal,12127.31,7206.64,2577.33,1938.39,15.98,7960.59,63.55,56.54,2025-11-26,8k-15k
user_3,24,Preparatoria,Desempleado,21023.2,7166.49,4239.07,10327.16,49.12,0.0,22.29,86.01,2025-11-26,15k-30k
user_4,66,Posgrado,Empleado formal,38797.88,22867.6,12799.12,3277.84,8.45,911.02,40.58,41.46,2025-11-26,30k-60k
user_5,55,Licenciatura,Freelance/Independiente,11340.01,4546.57,3501.98,3656.37,32.24,0.0,34.7,62.01,2025-11-26,8k-15k
user_6,59,Secundaria,Pensionado,11340.14,4214.35,2259.09,5562.66,49.05,0.0,63.91,74.3,2025-11-26,8k-15k
user_7,24,Preparatoria,Empleado formal,40354.13,10799.67,6730.93,22834.47,56.59,8488.85,76.14,70.9,2025-11-26,30k-60k
user_8,21,Licenciatura,Freelance/Independiente,22861.38,6137.55,3675.29,13207.02,57.77,0.0,36.71,76.37,2025-11-26,15k-30k
user_9,60,Licenciatura,Freelance/Independiente,9617.77,4733.9,3086.33,2202.55,22.9,74276.84,86.01,49.96,2025-11-26,8k-15k
user_10,33,Licenciatura,Freelance/Independiente,19531.66,8013.35,1332.55,9823.33,50.29,1443.15,85.9,63.56,2025-11-26,15k-30k
user_11,66,Licenciatura,Freelance/Independiente,9658.64,3180.42,526.28,5978.97,61.9,24182.75,65.41,73.75,2025-11-26,8k-15k
user_12,23,Posgrado,Empleado formal,9643.02,4482.94,3167.16,2055.69,21.32,2769.33,24.52,58.49,2025-11-26,8k-15k
user_13,37,Secundaria,Freelance/Independiente,15825.43,5356.91,3434.14,6556.35,41.43,409.36,21.65,60.28,2025-11-26,15k-30k
user_14,48,Secundaria,Freelance/Independiente,3500.65,1582.89,335.39,2741.19,78.31,0.0,15.63,87.13,2025-11-26,<8k
user_15,36,Secundaria,Freelance/Independiente,3994.04,1500.65,529.0,1260.74,31.57,4349.06,68.47,69.9,2025-11-26,<8k
user_16,69,Posgrado,Freelance/Independiente,9012.78,4851.07,3392.2,120.46,1.34,844.22,3.65,47.37,2025-11-26,8k-15k
user_17,39,Preparatoria,Empleado formal,6574.92,3532.33,2306.65,1393.05,21.19,0.0,60.31,45.9,2025-11-26,<8k
user_18,38,Secundaria,Empleado formal,16646.8,6942.92,4967.82,5092.69,30.59,0.0,7.57,63.48,2025-11-26,15k-30k
user_19,35,Preparatoria,Freelance/Independiente,7075.43,2637.63,1547.95,2376.87,33.59,0.0,64.71,55.32,2025-11-26,<8k
user_20,49,Preparatoria,Desempleado,4971.06,1873.57,1153.85,2247.28,45.21,153.73,40.52,59.18,2025-11-26,<8k
user_21,64,Licenciatura,Empleado formal,37270.38,19827.85,14585.23,3591.23,9.64,10548.57,80.01,47.79,2025-11-26,30k-60k
user_22,51,Licenciatura,Empleado formal,11406.7,4161.88,4426.02,2803.67,24.58,1646.82,74.24,49.89,2025-11-26,8k-15k
user_23,68,Licenciatura,Freelance/Independiente,14006.4,4526.46,1755.62,9023.73,64.43,602.99,83.05,69.54,2025-11-26,8k-15k
user_24,44,Secundaria,Freelance/Independiente,4927.94,1378.05,1645.37,1042.49,21.15,9221.38,83.82,53.23,2025-11-26,<8k
user_25,55,Posgrado,Freelance/Independiente,9126.45,3772.35,1086.37,4614.64,50.56,2897.66,44.31,60.11,2025-11-26,8k-15k
user_26,61,Preparatoria,Empleado formal,14438.39,6046.02,1801.02,7174.61,49.69,12828.17,5.24,62.11,2025-11-26,8k-15k
user_27,47,Licenciatura,Freelance/Independiente,5968.82,3248.94,1710.86,1454.69,24.37,5041.92,8.42,66.02,2025-11-26,<8k
user_28,50,Secundaria,Freelance/Independiente,17378.49,5690.3,3332.33,8253.68,47.49,2975.55,0.0,60.23,2025-11-26,15k-30k
user_29,44,Secundaria,Freelance/Independiente,8774.04,3363.5,3299.39,1965.93,22.41,2481.76,7.49,53.61,2025-11-26,8k-15k
user_30,40,Secundaria,Freelance/Independiente,10892.33,5804.98,883.95,4425.47,40.63,5320.14,42.06,53.5,2025-11-26,8k-15k
user_31,60,Licenciatura,Empleado formal,8767.49,4719.26,2008.05,2448.06,27.92,1814.86,23.21,58.23,2025-11-26,8k-15k
user_32,36,Licenciatura,Pensionado,48854.16,18789.99,18148.47,12216.94,25.01,1071.61,34.6,62.04,2025-11-26,30k-60k
user_33,48,Secundaria,Freelance/Independiente,13234.1,5435.16,4849.5,3469.47,26.22,6197.44,54.78,58.41,2025-11-26,8k-15k
user_34,21,Preparatoria,Empleado formal,6371.58,2269.24,667.65,2925.26,45.91,2506.43,30.88,86.6,2025-11-26,<8k
user_35,36,Licenciatura,Desempleado,23760.54,13695.44,4237.06,5714.15,24.05,3103.49,6.35,69.0,2025-11-26,15k-30k
user_36,55,Secundaria,Desempleado,5683.99,1657.03,1515.88,2041.07,35.91,11017.67,38.4,57.56,2025-11-26,<8k
user_37,57,Preparatoria,Freelance/Independiente,15462.99,8919.24,1635.8,4714.89,30.49,2600.21,13.05,55.56,2025-11-26,15k-30k
user_38,39,Preparatoria,Empleado formal,3388.8,1658.32,1317.59,920.5,27.16,0.0,31.88,79.34,2025-11-26,<8k
user_39,26,Licenciatura,Empleado formal,5272.55,2299.1,1951.7,1075.74,20.4,0.0,80.28,59.61,2025-11-26,<8k
user_40,48,Preparatoria,Empleado formal,15333.62,4008.68,1662.66,10965.71,71.51,4998.47,31.88,86.69,2025-11-26,15k-30k
user_41,27,Posgrado,Empleado formal,22402.47,9329.7,2070.09,11099.38,49.55,4535.97,93.13,65.98,2025-11-26,15k-30k
user_42,27,Preparatoria,Empleado formal,15062.41,5915.19,1203.38,7973.69,52.94,8786.13,82.95,70.08,2025-11-26,15k-30k
user_43,47,Preparatoria,Empleado formal,12320.83,3775.43,4537.83,4060.66,32.96,1487.79,22.62,53.84,2025-11-26,8k-15k
user_44,27,Secundaria,Empleado formal,10820.82,5191.22,1274.35,4036.35,37.3,1720.93,6.67,69.08,2025-11-26,8k-15k
user_45,53,Licenciatura,Desempleado,4745.89,2799.61,928.77,988.59,20.83,0.0,38.42,57.07,2025-11-26,<8k
user_46,35,Preparatoria,Empleado formal,8071.62,3606.13,1671.62,3357.76,41.6,0.0,74.6,57.01,2025-11-26,8k-15k
user_47,61,Licenciatura,Empleado formal,9677.44,4840.3,2512.78,2381.35,24.61,1004.79,25.29,56.0,2025-11-26,8k-15k
user_48,60,Preparatoria,Empleado formal,28000.72,7671.01,2103.06,17829.92,63.68,0.0,67.24,85.72,2025-11-26,15k-30k
user_49,65,Preparatoria,Empleado formal,16992.59,6732.18,2198.26,7599.61,44.72,388.33,76.25,63.86,2025-11-26,15k-30k
user_50,36,Licenciatura,Desempleado,3888.86,1130.59,1462.3,1070.87,27.54,7639.91,16.78,76.55,2025-11-26,<8k
user_51,60,Licenciatura,Empleado formal,16761.82,7785.51,6167.4,2845.84,16.98,653.11,19.72,44.33,2025-11-26,15k-30k
user_52,40,Secundaria,Freelance/Independiente,10203.05,5902.15,3300.19,1597.5,15.66,28651.07,61.38,47.98,2025-11-26,8k-15k
user_53,21,Licenciatura,Freelance/Independiente,8317.81,4006.04,472.37,3169.16,38.1,467.07,44.56,53.76,2025-11-26,8k-15k
user_54,29,Licenciatura,Empleado formal,20499.86,5676.02,3371.25,11292.68,55.09,0.0,19.42,67.14,2025-11-26,15k-30k
user_55,66,Secundaria,Empleado formal,27493.36,10286.18,7417.31,9862.03,35.87,2702.79,29.43,59.19,2025-11-26,15k-30k
user_56,41,Preparatoria,Empleado formal,25639.67,11351.51,3751.51,9619.8,37.52,1919.99,37.88,67.18,2025-11-26,15k-30k
user_57,30,Preparatoria,Empleado formal,7424.55,2903.91,2734.87,1368.97,18.44,0.0,0.0,61.09,2025-11-26,<8k
user_58,21,Preparatoria,Empleado formal,10759.58,5829.28,2925.11,1665.25,15.48,0.0,62.97,46.69,2025-11-26,8k-15k
user_59,44,Licenciatura,Freelance/Independiente,16846.27,9015.03,1266.29,6166.96,36.61,0.0,25.64,50.15,2025-11-26,15k-30k
user_60,55,Secundaria,Empleado formal,26446.57,12274.93,9736.36,4531.22,17.13,0.0,0.0,68.91,2025-11-26,15k-30k
user_61,56,Secundaria,Empleado formal,9552.69,3636.81,3679.87,2155.73,22.57,6499.79,39.28,55.34,2025-11-26,8k-15k
user_62,25,Preparatoria,Empleado formal,11731.57,3981.32,905.67,6566.94,55.98,384.21,17.75,68.4,2025-11-26,8k-15k
user_63,43,Posgrado,Freelance/Independiente,6158.36,1767.79,1455.38,3149.17,51.14,1478.71,90.66,68.42,2025-11-26,<8k
user_64,51,Licenciatura,Empleado formal,5782.87,2164.03,903.15,3577.23,61.86,114556.6,22.44,79.72,2025-11-26,<8k
user_65,26,Secundaria,Empleado formal,23594.48,9310.63,4423.82,10679.66,45.26,932.98,7.07,69.66,2025-11-26,15k-30k
user_66,27,Preparatoria,Freelance/Independiente,34522.55,16796.53,3896.83,12867.8,37.27,11817.81,55.24,64.14,2025-11-26,30k-60k
user_67,68,Preparatoria,Empleado formal,12702.99,6101.96,3205.28,3684.29,29.0,1475.66,20.19,54.39,2025-11-26,8k-15k
user_68,18,Licenciatura,Empleado formal,26969.8,7404.23,10391.27,9085.29,33.69,5490.94,16.62,70.5,2025-11-26,15k-30k
user_69,65,Preparatoria,Empleado formal,17208.27,6682.67,3890.37,6712.81,39.01,6536.96,55.29,56.99,2025-11-26,15k-30k
user_70,67,Posgrado,Desempleado,8505.06,2667.38,672.07,4966.47,58.39,11553.55,8.79,74.05,2025-11-26,8k-15k
user_71,25,Preparatoria,Empleado formal,17205.37,5245.65,4593.84,7424.67,43.15,2344.19,0.0,76.11,2025-11-26,15k-30k
user_72,27,Licenciatura,Empleado formal,39207.59,21154.68,6629.14,11499.47,29.33,0.0,91.78,63.91,2025-11-26,30k-60k
user_73,60,Licenciatura,Pensionado,13028.85,3448.35,4554.54,4736.48,36.35,1469.67,57.38,73.54,2025-11-26,8k-15k
user_74,66,Licenciatura,Empleado formal,39944.67,15846.61,8074.31,15575.57,38.99,3948.4,32.07,73.68,2025-11-26,30k-60k
user_75,42,Preparatoria,Freelance/Independiente,2134.91,659.41,250.84,1000.31,46.85,0.0,39.9,67.17,2025-11-26,<8k
user_76,48,Licenciatura,Empleado formal,23749.86,13246.85,2776.05,7844.09,33.03,775.6,55.18,50.21,2025-11-26,15k-30k
user_77,56,Preparatoria,Empleado formal,14199.09,6318.09,4530.47,3650.03,25.71,2115.3,69.2,65.77,2025-11-26,8k-15k
user_78,20,Preparatoria,Freelance/Independiente,10836.71,3586.77,1549.17,6127.44,56.54,0.0,17.32,86.13,2025-11-26,8k-15k
user_79,56,Licenciatura,Desempleado,14246.02,6066.66,4537.81,3394.45,23.83,1774.82,50.98,52.11,2025-11-26,8k-15k
user_80,55,Posgrado,Empleado formal,3323.26,1681.64,405.64,1377.9,41.46,0.0,24.8,74.7,2025-11-26,<8k
user_81,52,Licenciatura,Freelance/Independiente,11455.55,6705.41,1862.56,3368.83,29.41,1089.69,34.33,58.94,2025-11-26,8k-15k
user_82,25,Preparatoria,Freelance/Independiente,17153.87,5611.99,3652.41,8472.27,49.39,0.0,44.82,80.72,2025-11-26,15k-30k
user_83,18,Licenciatura,Empleado formal,37591.22,21057.23,14289.12,2215.45,5.89,8331.11,39.8,45.36,2025-11-26,30k-60k
user_84,22,Secundaria,Freelance/Independiente,9294.8,5363.16,3495.83,325.34,3.5,0.0,62.07,59.39,2025-11-26,8k-15k
user_85,68,Secundaria,Empleado formal,7585.96,4329.67,928.56,2423.29,31.94,0.0,54.61,66.01,2025-11-26,<8k
user_86,44,Licenciatura,Empleado formal,9402.87,4441.87,1649.04,2737.11,29.11,0.0,0.0,77.14,2025-11-26,8k-15k
user_87,62,Preparatoria,Empleado formal,25356.27,11928.53,2593.69,10737.25,42.35,1601.09,0.0,67.93,2025-11-26,15k-30k
user_88,43,Posgrado,Desempleado,16816.67,6577.4,3842.52,6769.04,40.25,349.71,28.91,70.07,2025-11-26,15k-30k
user_89,60,Preparatoria,Empleado formal,9220.35,4733.17,1947.37,2860.78,31.03,894.12,94.86,49.24,2025-11-26,8k-15k
user_90,43,Preparatoria,Freelance/Independiente,19135.25,8342.07,6989.46,3668.59,19.17,503.22,14.45,64.05,2025-11-26,15k-30k
user_91,28,Licenciatura,Empleado formal,14299.13,6965.15,5369.35,2073.49,14.5,14988.67,33.75,60.15,2025-11-26,8k-15k
user_92,51,Licenciatura,Empleado formal,26319.13,10526.61,4849.26,10530.93,40.01,0.0,23.91,84.39,2025-11-26,15k-30k
user_93,58,Preparatoria,Freelance/Independiente,8172.77,4135.62,1815.24,2573.66,31.49,7655.42,23.38,66.76,2025-11-26,8k-15k
user_94,19,Preparatoria,Freelance/Independiente,10621.51,5720.37,3862.86,999.37,9.41,0.0,45.35,55.24,2025-11-26,8k-15k
user_95,38,Licenciatura,Empleado formal,10153.0,3058.62,3374.33,3582.07,35.28,3642.27,82.02,56.14,2025-11-26,8k-15k
user_96,68,Preparatoria,Empleado formal,4796.01,2597.16,245.94,1772.05,36.95,17202.61,53.68,66.82,2025-11-26,<8k
user_97,43,Secundaria,Desempleado,16436.9,7217.51,2663.12,6524.82,39.7,1432.37,15.89,65.6,2025-11-26,15k-30k
user_98,29,Licenciatura,Empleado formal,16038.36,8751.06,3169.52,3893.84,24.28,0.0,122.6,50.69,2025-11-26,15k-30k
user_99,26,Secundaria,Freelance/Independiente,13407.63,5375.86,1748.36,6612.48,49.32,7306.14,42.36,71.63,2025-11-26,8k-15k
user_100,58,Posgrado,Freelance/Independiente,11336.57,4338.1,1358.69,5442.14,48.01,0.0,22.68,69.27,2025-11-26,8k-15k
user_101,40,Licenciatura,Freelance/Independiente,4960.39,2828.77,313.62,2614.48,52.71,0.0,82.36,68.56,2025-11-26,<8k
user_102,59,Posgrado,Desempleado,9952.19,3362.94,2738.64,4583.22,46.05,0.0,25.93,67.8,2025-11-26,8k-15k
user_103,22,Preparatoria,Freelance/Independiente,10510.18,5733.03,1491.17,2840.21,27.02,3534.71,89.89,51.86,2025-11-26,8k-15k
user_104,26,Posgrado,Empleado formal,7619.04,3195.48,520.54,3937.87,51.68,13470.45,13.88,81.95,2025-11-26,<8k
user_105,67,Secundaria,Empleado formal,11933.44,5130.58,1561.4,4916.13,41.2,8936.92,82.9,63.52,2025-11-26,8k-15k
user_106,27,Secundaria,Empleado formal,17726.85,6345.57,5861.74,5356.22,30.22,0.0,46.03,62.94,2025-11-26,15k-30k
user_107,66,Secundaria,Empleado formal,50027.6,22540.67,17410.67,11077.47,22.14,3484.76,78.73,42.99,2025-11-26,30k-60k
user_108,27,Preparatoria,Desempleado,15096.29,5492.39,3307.19,6142.92,40.69,490.3,97.05,63.6,2025-11-26,15k-30k
user_109,31,Secundaria,Empleado formal,15999.06,4219.66,3129.81,8829.7,55.19,0.0,6.02,80.71,2025-11-26,15k-30k
user_110,53,Preparatoria,Freelance/Independiente,12681.35,4377.6,4974.24,3600.17,28.39,0.0,78.27,53.58,2025-11-26,8k-15k
user_111,27,Preparatoria,Freelance/Independiente,3487.22,879.59,419.16,1688.16,48.41,5077.99,0.0,88.77,2025-11-26,<8k
user_112,67,Preparatoria,Freelance/Independiente,13114.06,7769.09,1644.19,3273.23,24.96,12905.37,8.58,45.58,2025-11-26,8k-15k
user_113,54,Licenciatura,Empleado formal,13935.03,8193.96,2120.26,3017.8,21.66,2579.62,15.9,64.73,2025-11-26,8k-15k
user_114,58,Secundaria,Freelance/Independiente,74926.99,29094.48,8276.81,37112.71,49.53,564.11,55.11,74.24,2025-11-26,>60k
user_115,55,Licenciatura,Empleado formal,11676.66,5895.89,2134.24,2221.51,19.03,0.0,40.99,59.21,2025-11-26,8k-15k
user_116,65,Licenciatura,Freelance/Independiente,16499.46,6121.83,6084.87,4565.05,27.67,0.0,34.99,61.57,2025-11-26,15k-30k
user_117,39,Posgrado,Empleado formal,13039.02,6322.39,3460.19,4283.54,32.85,8759.49,44.39,65.83,2025-11-26,8k-15k
user_118,40,Preparatoria,Desempleado,5895.39,3135.76,1144.77,1688.77,28.65,2449.5,57.74,64.62,2025-11-26,<8k
user_119,33,Posgrado,Empleado formal,29731.9,17285.08,11210.23,528.46,1.78,10438.57,60.05,39.8,2025-11-26,15k-30k
user_120,28,Licenciatura,Empleado formal,22614.65,8821.39,1514.33,11957.54,52.88,182534.15,72.83,71.09,2025-11-26,15k-30k
user_121,64,Posgrado,Empleado formal,23242.14,12182.47,2872.65,7957.58,34.24,3422.69,94.6,56.37,2025-11-26,15k-30k
user_122,68,Secundaria,Freelance/Independiente,7068.68,2425.09,1753.46,2381.34,33.69,0.0,39.36,55.25,2025-11-26,<8k
user_123,52,Licenciatura,Freelance/Independiente,35666.1,21278.98,9467.33,5349.88,15.0,1475.07,24.37,60.08,2025-11-26,30k-60k
user_124,65,Licenciatura,Empleado formal,5007.56,1297.05,319.71,3795.93,75.8,6314.29,58.41,78.08,2025-11-26,<8k
user_125,37,Secundaria,Empleado formal,20146.78,9292.4,3849.32,6427.33,31.9,0.0,5.67,54.9,2025-11-26,15k-30k
user_126,54,Licenciatura,Empleado formal,61902.69,29764.49,17159.67,15341.07,24.78,3652.93,19.64,56.65,2025-11-26,>60k
